                                               Journal            ID
95                        Foresight and STI Governance  10419-198112
96                        Foresight and STI Governance  10419-198140
93                        Foresight and STI Governance  10419-198086
49                        Foresight and STI Governance  10419-198434
13                                               Games  10419-167980
144                           IZA Journal of Migration  10419-198449
154  International Journal for Re-Views in Empirica...  10419-169051
150         International Journal of Financial Studies  10419-147417
130         International Journal of Financial Studies  10419-198070
46    Journal of Agricultural and Environmental Ethics  10419-198126
8                       Journal of Economic Structures  10419-194944
7                       Journal of Economic Structures  10419-194922
158                     Journal of Economic Structures  10419-191899
143                     Journal of Economic Structures  10419-198447
11          Journal of Global Entrepreneurship Researc  10419-196983
98         Journal of Global Entrepreneurship Research  10419-198230
129         Journal of Innovation and Entrepreneurship  10419-198058
97          Journal of Innovation and Entrepreneurship  10419-198156
9                           Journal of Remanufacturing  10419-195102
146                     Latin American Economic Review  10419-210535
0                                   Logistics Research  10419-157719
148                                           PLoS ONE  10419-190865
149                                           PLoS ONE  10419-191574
10   SERIEs - Journal of the Spanish Economic Assoc...  10419-195285
31                                      Sustainability  10419-169390
6            Swiss Journal of Economics and Statistics  10419-186020
5            Swiss Journal of Economics and Statistics  10419-185883
134          Swiss Journal of Economics and Statistics  10419-198228
101                         Transnational Corporations  10419-198515
163                                               None  10419-198056
164                                               None  10419-198249
165                                               None  10419-198442
166                                               None  10419-198531
167                                               None  10419-205469
168                                               None  10419-205710
169                                               None  10419-147202
170                                               None  10419-149427
171                                               None  10419-187886
172                                               None  10419-195228
173                                               None  10419-201524
174                                               None  10419-141320
175                                               None  10419-157804
176                                               None  10419-195749
177                                               None  10419-197526
178                                               None  10419-198370
179                                               None  10419-198476
180                                               None  10419-198535
181                                               None  10419-206818
182                                               None  10419-209409
183                                               None  10419-210609
184                                               None  10419-179067
185                                               None  10419-181963
186                                               None  10419-194911
187                                               None  10419-198319
188                                               None  10419-174591
189                                               None  10419-179670
190                                               None  10419-182388
191                                               None  10419-197071
192                                               None  10419-197072
